longitude,latitude,crop_flow_lb_s,datetime,,distance_in,swth_wdth_in,moisture,status,pass_num,serial_number,field,dataset,product,,
-85.368923,42.414211,0,2009/10/19,19:01:34+00,102,180,13.63,0,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368892,42.414211,0,2009/10/19,19:01:33+00,101,180,13.63,0,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368859,42.414211,0,2009/10/19,19:01:32+00,101,180,13.63,0,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368826,42.414211,0.8,2009/10/19,19:01:31+00,102,180,13.63,0,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368792,42.414208,0.8,2009/10/19,19:01:30+00,101,180,13.63,0,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368762,42.414203,1,2009/10/19,19:01:29+00,102,180,13.63,0,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368731,42.414194,1.1,2009/10/19,19:01:28+00,99,180,13.63,0,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368706,42.41418,1.2,2009/10/19,19:01:27+00,95,180,13.63,0,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368684,42.414164,1.7,2009/10/19,19:01:26+00,93,180,13.63,0,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.36867,42.414144,2.1,2009/10/19,19:01:25+00,88,180,13.63,0,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368662,42.414125,2.5,2009/10/19,19:01:24+00,77,180,13.63,0,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368662,42.414105,2.6,2009/10/19,19:01:23+00,77,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368659,42.414089,2.1,2009/10/19,19:01:22+00,77,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368659,42.414069,2.2,2009/10/19,19:01:21+00,77,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368659,42.414053,2.4,2009/10/19,19:01:20+00,77,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368659,42.414033,2.6,2009/10/19,19:01:19+00,76,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368659,42.414016,2.7,2009/10/19,19:01:18+00,76,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368656,42.413997,2.4,2009/10/19,19:01:17+00,76,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368656,42.41398,2.9,2009/10/19,19:01:16+00,76,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368656,42.413961,2.9,2009/10/19,19:01:15+00,76,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368656,42.413944,2.9,2009/10/19,19:01:14+00,76,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368656,42.413928,3.2,2009/10/19,19:01:13+00,76,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368656,42.413908,3.2,2009/10/19,19:01:12+00,76,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
