longitude,latitude,crop_flow_lb_s,datetime,,distance_in,swth_wdth_in,moisture,status,pass_num,serial_number,field,dataset,product
-85.375452,42.409113,2.35,2012/10/25,16:54:06+00,98,180,14.76,0,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375477,42.409099,2.85,2012/10/25,16:54:05+00,93,180,14.76,0,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375491,42.409079,2.55,2012/10/25,16:54:04+00,89,180,14.76,0,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.409063,2.85,2012/10/25,16:54:03+00,82,180,14.76,0,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375502,42.409043,2.85,2012/10/25,16:54:02+00,75,180,14.76,0,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375502,42.409027,2.95,2012/10/25,16:54:01+00,34,180,14.76,0,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375502,42.409018,2.45,2012/10/25,16:54:00+00,44,180,14.76,0,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375502,42.409032,2.85,2012/10/25,16:53:59+00,42,180,14.76,0,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375502,42.409043,2.65,2012/10/25,16:53:58+00,9,180,14.76,0,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375502,42.409043,3.35,2012/10/25,16:53:57+00,11,180,14.76,0,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375502,42.409043,3.85,2012/10/25,16:53:56+00,45,180,14.76,0,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375502,42.409032,3.85,2012/10/25,16:53:55+00,73,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375502,42.409015,1.65,2012/10/25,16:53:54+00,73,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375502,42.408999,1.65,2012/10/25,16:53:53+00,73,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375502,42.408979,0.75,2012/10/25,16:53:52+00,73,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375502,42.408963,4.05,2012/10/25,16:53:51+00,73,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375502,42.408946,3.65,2012/10/25,16:53:50+00,74,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
